model,valid,desc,prop1.valid,prop1.states,prop1.times,prop4.valid,prop4.states,prop4.times,prop5.valid,prop5.states,prop5.times,prop3.valid,prop3.states,prop3.times,event-centre-admsgwire.valid,event-centre-admsgwire.states,event-centre-admsgwire.times,secure-writeoraclecomwire.valid,secure-writeoraclecomwire.states,secure-writeoraclecomwire.times,secure-writeoraclefinwritewire.valid,secure-writeoraclefinwritewire.states,secure-writeoraclefinwritewire.times,secure-readroctrlwire.valid,secure-readroctrlwire.states,secure-readroctrlwire.times,secure-readrofinreadwire.valid,secure-readrofinreadwire.states,secure-readrofinreadwire.times
1,true,deploy service: financetransoracle,true,340,0.012597599999999999,true,32,0.004213199999999999,true,10,0.0039293,true,346,0.0096647,,,,,,,,,,,,,,,
2,true,setup database: commodityblockchain,true,340,0.0094942,true,32,0.0042736,true,10,0.0038219,true,346,0.011890399999999999,,,,,,,,,,,,,,,
3,true,setup database: admsgwirelog,true,340,0.009157,true,32,0.004313099999999999,true,10,0.0038134999999999996,true,346,0.011949699999999999,,,,,,,,,,,,,,,
4,true,setup database: financetransblockchain,true,340,0.0092131,true,32,0.0040146999999999995,true,10,0.0037378999999999997,true,346,0.009507999999999999,,,,,,,,,,,,,,,
5,false,network route for connector:oraclefinwritewire between: financetransoracle financetransblockchain ,false,11894,0.3150484,false,1194,0.032845599999999996,true,627,0.0216501,false,12358,0.303485,,,,,,,true,11713,0.2877708,,,,,,
8,false,deploy service: commodity,false,11894,0.2670277,false,1194,0.0325158,true,627,0.022838999999999998,false,12358,0.2972531,,,,,,,true,11713,0.3338819,,,,,,
9,false,deploy service: bcintegrator,false,11894,0.2748811,false,1194,0.0310819,true,627,0.0219474,false,12358,0.3090863,,,,,,,true,11713,0.3016527,,,,,,
10,false,deploy service: financetrans,false,11894,0.2728787,false,1194,0.0307955,true,627,0.0226056,false,12358,0.30162269999999997,,,,,,,true,11713,0.2952337,,,,,,
11,true,network route for connector:finwritewire between: bcintegrator financetransoracle ,true,859,0.021349999999999997,true,32,0.0053184,true,10,0.0051329999999999995,true,1100,0.0428381,,,,,,,true,762,0.08673059999999999,,,,,,
12,true,network route for connector:finreadwire between: digitalwallet financetrans ,true,859,0.0291183,true,32,0.0061344,true,10,0.007029499999999999,true,1100,0.0319452,,,,,,,true,762,0.022327,,,,,,
13,true,network route for connector:rofinreadwire between: financetrans financetransblockchain ,true,859,0.026705899999999998,true,32,0.0103286,true,10,0.0077748999999999995,true,1100,0.0338933,,,,,,,true,762,0.0334106,,,,true,22,0.008615
14,true,network route for connector:roctrlwire between: commodity commodityblockchain ,true,859,0.0446682,true,32,0.016218299999999998,true,10,0.0124906,true,1100,0.039444099999999996,,,,,,,true,762,0.0322097,true,10,0.0125425,true,22,0.0128688
16,true,deploy service: provenanceint,true,859,0.0323993,true,32,0.0141357,true,10,0.012426,true,1100,0.11441849999999999,,,,,,,true,762,0.0398978,true,10,0.0181565,true,22,0.018619399999999998
17,false,network route for connector:admsgwire between: provenanceint adwebapp ,false,30,0.0188359,true,599,0.028706199999999998,true,181,0.0179637,false,30,0.016311199999999998,false,30,0.0172596,,,,true,162,0.0169733,true,88,0.0172621,true,409,0.021466199999999998
18,true,network route for connector:admsgwire between: provenanceint admsgwirelog ,true,2150,0.0745666,true,32,0.026404999999999998,true,10,0.026324499999999997,true,2732,0.08859539999999999,true,2644,0.0844471,,,,true,1875,0.0680388,true,10,0.026199499999999997,true,22,0.0239121
20,true,deploy service: commodityoracle,true,2150,0.0726005,true,32,0.0837091,true,10,0.0321617,true,2732,0.1102307,true,2644,0.09016099999999999,,,,true,1875,0.0738067,true,10,0.0240025,true,22,0.027339
21,true,network route for connector:comwire between: bcintegrator commodityoracle ,true,340,0.0096983,true,32,0.0070144,true,10,0.0040143999999999996,true,346,0.011949699999999999,true,15241,0.47214839999999997,,,,true,10653,0.3573336,true,22,0.0443173,true,22,0.044183799999999995
22,true,network route for connector:oraclecomwire between: commodityoracle commodityblockchain ,true,10784,0.37664519999999996,true,16,0.0442092,true,10,0.0464489,true,15614,0.46972539999999996,true,15241,0.5483001,true,10653,0.3615581,true,10653,0.3532125,true,10,0.052124,true,22,0.0993502
24,true,setup application: controller,true,10784,0.36685789999999996,true,16,0.044823299999999996,true,10,0.0466262,true,15614,0.48859769999999997,true,15241,0.4819382,true,10653,0.3545992,true,10653,0.3684768,true,10,0.0442145,true,22,0.044840899999999996
25,true,network route for connector:ctrlwire between: controller commodity ,true,10784,0.34947419999999996,true,16,0.043100099999999995,true,10,0.0461054,true,15614,0.4941679,true,15241,0.4621142,true,10653,0.46742459999999997,true,10653,0.3529558,true,22,0.044573999999999996,true,22,0.0438837
