model,valid,desc,prop1.valid,prop1.states,prop1.times,prop2.valid,prop2.states,prop2.times,prop3.valid,prop3.states,prop3.times,prop4.valid,prop4.states,prop4.times,prop5.valid,prop5.states,prop5.times,event-centre-assignwire.valid,event-centre-assignwire.states,event-centre-assignwire.times,event-command-driverupdatewire.valid,event-command-driverupdatewire.states,event-command-driverupdatewire.times,event-query-driverquerywire.valid,event-query-driverquerywire.states,event-query-driverquerywire.times,secure-writeoraclepaywire.valid,secure-writeoraclepaywire.states,secure-writeoraclepaywire.times,secure-readropayprocesswire.valid,secure-readropayprocesswire.states,secure-readropayprocesswire.times
0,true,setup database: paymentblockchain,true,79,0.0649466,true,54,0.0035987999999999997,true,10,0.006263299999999999,true,29,0.0030967,true,29,0.0032067999999999997,,,,,,,,,,,,,,,
1,true,setup database: driverupdatewirecommandlog,true,79,0.0067372,true,54,0.0043046,true,10,0.0027838,true,29,0.0040066,true,29,0.0030797,,,,,,,,,,,,,,,
2,true,setup database: assignwirelog,true,79,0.007215999999999999,true,54,0.0031641,true,10,0.003918,true,29,0.0029914,true,29,0.0028633,,,,,,,,,,,,,,,
3,true,setup database: driverrecord,true,79,0.0034448,true,54,0.0070333999999999995,true,10,0.0038004,true,29,0.0031704999999999997,true,29,0.0029134,,,,,,,,,,,,,,,
4,true,network route for connector:driverupdatewire between: driverui driverupdatewirecommandlog ,true,79,0.0038716999999999996,true,54,0.006521099999999999,true,10,0.062038499999999996,true,29,0.0033357,true,29,0.0063127,,,,true,16,0.0027248,,,,,,,,,
5,true,network route for connector:driverupdatewire between: driverui driverrecord ,true,79,0.0037686,true,54,0.0039289,true,10,0.0062188,true,29,0.0053622,true,29,0.0036376,,,,true,96,0.0077506,,,,,,,,,
7,true,deploy service: payment,true,79,0.0050409,true,54,0.0039038999999999996,true,10,0.0064978,true,29,0.004425,true,29,0.0033843999999999996,,,,true,96,0.008417899999999999,,,,,,,,,
8,true,network route for connector:payprocesswire between: billinggateway payment ,true,79,0.0048477,true,54,0.0031831999999999997,true,10,0.0035483,true,29,0.0036393999999999997,true,29,0.0028276,,,,true,96,0.0686948,,,,,,,,,
9,true,network route for connector:ropayprocesswire between: payment paymentblockchain ,true,79,0.006450099999999999,true,54,0.0031750999999999997,true,10,0.0038572999999999997,true,29,0.0072061,true,29,0.0034579,,,,true,96,0.006465299999999999,,,,,,,true,22,0.007369199999999999
11,true,deploy service: tripmgmt,true,79,0.005371,true,54,0.0043438,true,10,0.0035748,true,29,0.0037778,true,29,0.006942299999999999,,,,true,96,0.0067967999999999995,,,,,,,true,22,0.0086047
12,true,network route for connector:driverquerywire between: tripmgmt driverrecord ,true,77,0.0079695,true,52,0.0045762,true,10,0.0034205,true,29,0.0042859,true,29,0.0046535,,,,true,96,0.0054046,true,53,0.0047060999999999995,,,,true,22,0.066685
13,false,network route for connector:assignwire between: tripmgmt driverui ,,,,,,,,,,,,,,,,false,28,0.0043272,true,96,0.0050203999999999995,true,22,0.0037319,,,,true,22,0.0072791999999999996
14,true,network route for connector:assignwire between: tripmgmt assignwirelog ,true,197,0.011171799999999999,true,131,0.0072488,true,10,0.0051662,true,29,0.0085737,true,29,0.0052965,true,182,0.009669299999999999,true,96,0.0110048,true,132,0.0086277,,,,true,22,0.0053381999999999995
16,true,deploy service: paymentoracle,true,197,0.0129295,true,131,0.0649279,true,10,0.0060154,true,29,0.005644,true,29,0.0070249,true,182,0.0089388,true,96,0.0069042,true,132,0.0081768,,,,true,22,0.0051683
17,false,network route for connector:oraclepaywire between: paymentoracle paymentblockchain ,false,6403,0.22324929999999998,false,5800,0.16419129999999998,true,627,0.027816,false,1382,0.0442551,false,1382,0.045820099999999996,false,6118,0.1575713,false,2772,0.0822731,false,5817,0.1553559,true,1184,0.039466,false,760,0.0327648
18,true,network route for connector:paywire between: passengerui paymentoracle ,true,197,0.0107082,true,54,0.0031750999999999997,true,40,0.0094197,true,29,0.06955,true,29,0.0107572,true,182,0.017165,true,96,0.0100514,true,132,0.012039699999999999,true,67,0.0080161,true,22,0.0102099
